Food,Cuisine
bak kut teh,Chinese
beef kway teow,Chinese
bak chang,Chinese
bak chor mee,Chinese
ban mian,Chinese
chai tow kway,Chinese
char kway teow,Chinese
char siu,Chinese
crab bee hoon,Chinese
drunken prawns,Chinese
duck rice,Chinese
fish ball noodles,Chinese
fish soup bee hoon,Chinese
frog leg porridge,Chinese
hae mee,Chinese
hainanese chicken rice,Chinese
har cheong gai,Chinese
hokkien mee,Chinese
hum chim peng,Chinese
kuay chap,Chinese
mee pok,Chinese
min chiang kueh,Chinese
pig's brain soup,Chinese
pig's organ soup,Chinese
popiah,Chinese
shredded chicken noodles,Chinese
sliced fish soup,Chinese
soon kway,Chinese
teochew porridge,Chinese
turtle soup,Chinese
vegetarian bee hoon,Chinese
yong tau foo,Chinese
youtiao,Chinese
acar,Malay
assam pedas,Malay
ayam penyet,Malay
bakso,Malay
begedil,Malay
curry puff,Malay
dendeng paru,Malay
goreng pisang,Malay
gulai daun ubi,Malay
keropok,Malay
ketupat,Malay
lemak siput,Malay
lontong,Malay
nagasari,Malay
nasi goreng,Malay
nasi padang,Malay
otak-otak,Malay
pecel lele,Malay
rawon,Malay
rojak bandung,Malay
roti john,Malay
sambal,Malay
satay,Malay
sayur lodeh,Malay
soto,Malay
soto ayam,Malay
tumpeng,Malay
appam,Indian
dosa,Indian
murtabak,Indian
naan,Indian
roti prata,Indian
soup kambing,Indian
soup tulang,Indian
soup tulang merah,Indian
tandoori chicken,Indian
vadai,Indian
ayam buah keluak,Cross-cultural
biryani,Cross-cultural
cereal prawns,Cross-cultural
chili crab pasta,Cross-cultural
curry laksa,Cross-cultural
fish head curry,Cross-cultural
kari debal,Cross-cultural
kari lemak ayam,Cross-cultural
katong laksa,Cross-cultural
kueh pie tee,Cross-cultural
kway teow goreng,Cross-cultural
mee rebus,Cross-cultural
mee siam,Cross-cultural
mee goreng,Cross-cultural
mee soto,Cross-cultural
rojak,Cross-cultural
sambal kangkong,Cross-cultural
satay bee hoon,Cross-cultural
tauhu goreng,Cross-cultural
black pepper crab,Seafood
chilli crab,Seafood
oyster omelette,Seafood
sambal lala,Seafood
sambal stingray,Seafood
bubur cha cha,Desserts
chendol,Desserts
cheng tng,Desserts
ice kacang,Desserts
kuih or kueh,Desserts
orh-nee,Desserts
pulut hitam,Desserts
tau suan,Desserts
bandung,Drinks and beverages
chin chow drink,Drinks and beverages
kopi,Drinks and beverages
horlicks,Drinks and beverages
milo,Drinks and beverages
sugarcane juice,Drinks and beverages
teh halia tarik,Drinks and beverages
singapore sling,Drinks and beverages
yuenyeung coffee,Drinks and beverages
kueh lapis,Desserts
lapis sagu,Desserts
